CYB-10	In Progress		0.4 W6 — Retire HIR and all legacy runtime paths
CYB-100	Done	CYB-81	W4.1c-cursor — Bijective syntax/ISLE inventory classification evidence
CYB-101	Done	CYB-79	W5.1a-cursor — Closure environment allocation and GC rooting (post-TLS)
CYB-102	Done	CYB-87	W7.1a-cursor — Record reproducible 0.4 gate evidence and gap issues
CYB-103	Done	CYB-65	W4.5b-cursor — Migrate LSP diagnostics and refresh off analysis snapshots
CYB-104	Done	CYB-17	W2.2a-cursor — Spawn and concurrency legality facts (queries)
CYB-105	Done	CYB-82	W3.4a-cursor — JIT/REPL exact-kit CodegenInput route regressions
CYB-106	Done	CYB-81	W4.1c-codex — Span-bearing rejection fixtures for remaining unsupported inventory families
CYB-107	Done	CYB-22	W7.1a-cursor gap — Migrate beskid_aot mod_artifact off retired HIR/Lowerable entry
CYB-109	Done	CYB-79	W5.1b — Harden closure environment descriptor validation and allocation fail-closed
CYB-11	In Progress		0.4 W7 — Run release gates and record sign-off evidence
CYB-110	Done	CYB-87	W7 gate bug — Resolve clippy collapsible_if in semantic_contract
CYB-112	Done	CYB-83	W5.5b — Produce ABI-v5 Windows COFF import library for native runtime-kit matrix
CYB-118	Done	CYB-111	Migrate stale beskid_tests imports from deleted Codegen APIs
CYB-119	Done	CYB-118	Reject non-public [Export] declarations in syntax module lowering
CYB-120	Done	CYB-77	W4.2a leaf — Lower captured immediate lambda calls through ABI-v5 closure environments
CYB-121	Done	CYB-77	W4.2a leaf — Lower zero-argument lambda spawn through an ABI-v5 closure entry trampoline
CYB-123	Done	CYB-86	W6.4a leaf — Approve syntax spawn dispatch through the exact ABI-v5 runtime kit
CYB-125	Done	CYB-120	W4.2a blocker — Emit generation-safe closure descriptor and root-slot authority
CYB-13	Done	CYB-5	W1.2 — Generate exhaustive typed-operation inventory
CYB-130	Done	CYB-11	W7.C5 — Cursor: close CI/CD release-gate parity and evidence drift
CYB-131	Done	CYB-79	W5.1a-cursor — Exact-kit root_current provenance + host JIT fail-closed evidence
CYB-134	Backlog	CYB-9	W5.9c — Prevent JIT allocation overflow in Console ANSI corelib test
CYB-140	Backlog	CYB-9	W5.9a.3 — Generalize generic call ABI-specialization harvesting for reachable corelib helpers
CYB-142	Done	CYB-133	W5.9b.3 — Declare Core.Output Results import for generic match facts
CYB-149	Done	CYB-147	W5.9b.10 — Lower canonical Core.Syscall.ResolveDescriptorFd facade
CYB-15	Done	CYB-5	W1.4 — Parsed-source to verified-CLIF integration harness
CYB-156	Backlog	CYB-134	W5.9c.2 — Preserve valid string handles through ANSI style-chain JIT lowering
CYB-158	Backlog	CYB-156	W5.9c.2b — Emit header-aware syntax aggregate layouts and static allocation plans
CYB-16	Done	CYB-6	W2.1 — Generation-safe capture and closure facts
CYB-160	Backlog	CYB-137	W5.9b.4 — Lower Core.Error unit enum-match panic arm through syntax ISLE
CYB-162	Todo	CYB-140	W5.9a.3a — Lower value-field projections on event-bearing nominal aggregates
CYB-17	Done	CYB-6	W2.2 — Spawn and concurrency legality facts
CYB-18	Done	CYB-6	W2.3 — Non-forgeable trusted runtime intrinsic authority
CYB-19	Done	CYB-6	W2.4 — Completion candidate and replacement-span facts
CYB-21	Done	CYB-7	W3.2 — Validate ABI-v5 kit manifest, hashes and capabilities
CYB-22	Done	CYB-7	W3.3 — Migrate AOT linker to validated kits only
CYB-23	Duplicate	CYB-7	W3.4 — Migrate JIT/REPL to validated runtime kits
CYB-24	Done	CYB-8	W4.1 — Complete expression, statement and control-flow ISLE lowering
CYB-25	Done	CYB-8	W4.2 — Lower aggregates, closures, captures and spawn
CYB-26	Done	CYB-8	W4.3 — Migrate LSP hover, definition and references
CYB-27	Done	CYB-8	W4.4 — Migrate LSP completion and semantic tokens
CYB-28	Todo	CYB-9	W5.1 — Canonical runtime lifecycle, traps and TLS
CYB-29	Backlog	CYB-9	W5.2 — Allocator, roots, barriers and mark/sweep GC
CYB-31	Backlog	CYB-9	W5.4 — Scheduler, concurrency and callbacks
CYB-32	In Progress	CYB-9	W5.5 — Linux x86-64 debug/release runtime kits
CYB-33	In Progress	CYB-9	W5.6 — macOS arm64 debug/release runtime kits
CYB-34	In Progress	CYB-9	W5.7 — Windows x86-64 debug/release runtime kits
CYB-35	Todo	CYB-10	W6.1 — Delete HIR model, lowering and caches
CYB-36	Todo	CYB-10	W6.2 — Delete Lowerable and legacy codegen entry points
CYB-37	Duplicate	CYB-10	W6.3 — Remove Rust runtime bridge, host and fallback objects
CYB-38	Duplicate	CYB-10	W6.4 — Remove legacy ABI dispatch and kit fallbacks
CYB-39	Todo	CYB-10	W6.5 — Make retirement and binary-provenance gates authoritative
CYB-40	Todo	CYB-11	W7.1 — Fresh full compiler workspace verification
